code,description,avg_monthly_q1,april_qty,old_moq,new_moq
PUT004,Putty Premium Buckets- 40kgs,67.66666666666667,1.0,16.916666666666668,16.916666666666668
PVC001,Pvc Bend 11/2x45,81.33333333333333,91.0,20.333333333333332,22.75
PVC002,Pvc Bend 11/2x90,163.0,253.0,40.75,63.25
PVC003,Pvc Bend 11/4x45,3.0,0.0,0.75,0.75
PVC004,Pvc Bend 11/4x90,6.666666666666667,16.0,1.6666666666666667,4.0
PVC005,Pvc Bend 2x45,67.0,60.0,16.75,16.75
PVC006,Pvc Bend 2x90,146.0,219.0,36.5,54.75
PVC007,Pvc Bend 3x45,26.666666666666668,17.0,6.666666666666667,6.666666666666667
PVC008,Pvc Bend 3x90,58.0,95.0,14.5,23.75
PVC009,Pvc Bend 4x45,46.666666666666664,51.0,11.666666666666666,12.75
PVC010,Pvc Bend 4x90,128.33333333333334,129.0,32.083333333333336,32.25
PVC011,Pvc Bend 6x45,1.6666666666666667,0.0,0.4166666666666667,0.4166666666666667
PVC012,Pvc Bend 6x90,9.333333333333334,5.0,2.3333333333333335,2.3333333333333335
PVC013,Pvc Bend 8x90,0.0,0.0,0.0,0.0
PVC014,Pvc Boss Connector 4x11/2,2.6666666666666665,3.0,0.6666666666666666,0.75
PVC015,Pvc Boss Connector 4x11/4,0.3333333333333333,0.0,0.08333333333333333,0.08333333333333333
PVC016,Pvc Boss Connector 4x2,7.0,23.0,1.75,5.75
PVC017,Pvc Boss Connector 4x3,1.0,0.0,0.25,0.25
PVC019,Pvc Cross Tee 4,2.0,4.0,0.5,1.0
PVC020,Pvc Flex Bend 4,15.333333333333334,19.0,3.833333333333334,4.75
PVC022,Pvc Floor Trap 4way,108.0,206.0,27.0,51.5
PVC023,Pvc Floor Trap 1Way,15.333333333333334,9.0,3.833333333333334,3.833333333333334
PVC026,Pvc Full Bora 4,6.666666666666667,0.0,1.6666666666666667,1.6666666666666667
PVC027,Pvc Gulley Trap 2,2.0,0.0,0.5,0.5
PVC028,Pvc Gulley Trap 4,17.333333333333332,1.0,4.333333333333333,4.333333333333333
PVC031,Pvc Inspection Bend 4,9.333333333333334,6.0,2.3333333333333335,2.3333333333333335
PVC032,Pvc Inspection Tee 4,1.0,0.0,0.25,0.25
PVC033,Pvc Pipe Sewer 6,0.0,0.0,0.0,0.0
PVC034,Pvc Plug 11/2,26.666666666666668,20.0,6.666666666666667,6.666666666666667
PVC035,Pvc Plug 11/4,1.0,1.0,0.25,0.25
PVC036,Pvc Plug 2,38.333333333333336,19.0,9.583333333333334,9.583333333333334
PVC037,Pvc Plug 3,10.666666666666666,16.0,2.6666666666666665,4.0
PVC038,Pvc Plug 4,15.333333333333334,17.0,3.833333333333334,4.25
PVC039,Pvc Plug 6,1.3333333333333333,2.0,0.3333333333333333,0.5
PVC040,Pvc Plug 8,0.0,0.0,0.0,0.0
PVC041,Pvc Press Elbow 1,0.0,0.0,0.0,0.0
PVC042,Pvc Press Elbow 1/2,0.0,0.0,0.0,0.0
PVC043,Pvc Press Elbow 11/2,0.0,0.0,0.0,0.0
PVC044,Pvc Press Elbow 11/4,0.0,0.0,0.0,0.0
PVC046,Pvc Press Elbow 3/4,0.0,0.0,0.0,0.0
PVC047,Pvc Press Tee 11/4,0.0,0.0,0.0,0.0
PVC048,Pvc Pressure Tee 1,0.0,0.0,0.0,0.0
PVC049,Pvc Pressure Tee 1/2,0.0,0.0,0.0,0.0
PVC050,Pvc Pressure Tee 11/2,0.0,0.0,0.0,0.0
PVC051,Pvc Pressure Tee 2,0.0,0.0,0.0,0.0
PVC052,Pvc Pressure Tee 3/4,0.0,0.0,0.0,0.0
PVC053,Pvc Reducer 11/2x11/4,5.0,0.0,1.25,1.25
PVC054,Pvc Reducer 2x11/2,22.333333333333332,20.0,5.583333333333333,5.583333333333333
PVC055,Pvc Reducer 2x11/4,0.3333333333333333,1.0,0.08333333333333333,0.25
PVC056,Pvc Reducer 3x2,10.333333333333334,7.0,2.5833333333333335,2.5833333333333335
PVC057,Pvc Reducer 4x2,10.666666666666666,4.0,2.6666666666666665,2.6666666666666665
PVC058,Pvc Reducer 4x3,9.666666666666666,4.0,2.4166666666666665,2.4166666666666665
PVC059,Pvc Reducer 6x4,1.0,0.0,0.25,0.25
